id,news_url,title,tweet_ids
gossipcop-882573,https://www.brides.com/story/teen-mom-jenelle-evans-wedding-dress,Teen Mom Star Jenelle Evans' Wedding Dress Is Available Here for $2999,912371411146149888	912371528343408641	912372992813842432	912373174662246401	912373716390109184	912374318511874049	912376391739543556	912377491523866624	912379547030392832	912379599165825024	912380002477527041	912381257069350913	912382274997547010	912393043139006465	912393322152394754	912395866312409088	912397900306616321	912413748849201155	912413781325729793	912413778565828613	912413788825059328	912413793577263110	912413796899094528	912414030773579778	912414082568990720	912414079880515585	912414099618893826	912414204526776320	912414259300139010	912414268385087488	912414348219437058	912414434219499520	912414457204215808	912414474799386624	912414521884585984	912414598887804928	912414617758048256	912414622556311552	912414620870152192	912414636531748867	912414718479994881	912414741691293696	912414740672122885	912414760628604930	912448900321161217	912708585716682752	913187882650734598	913215691381145602	913218004393054208	913226764201099271	913298730476015616	913304020521046016	913305779159142400	913311064590348293	913325159481856001	913330250079199232	913331472131600390	913332455251341312	913376000553218049	913394128012103680	913840022629093376	914924390197940225	915195810224246787	916617070816702465	919755086313787392	921480601168949248	923290337497567232
gossipcop-875924,https://www.dailymail.co.uk/tvshowbiz/article-4668922/Kylie-Jenner-refusing-discuss-dating-life-new-show.html,Kylie Jenner refusing to discuss Tyga on Life of Kylie,901989917546426369	901989992074969089	901990257616347137	901990976096419840	901991270687629312	901992764262367232	901992771661291521	901992955212333056	901993771017019392	901995439020548098	901995452371013632	901995457832001536	902002954508664833	902003012209713153	902003340552224768	902004167065161728	902005312298905602	902010407019302913	902010420319449089	902010451634130945	902010530214416385	902010668664201216	902010690726219776	902010687966326784	902010692416524289	902010721663406084	902010736771203072	902010733290037249	902010771835584512	902010787593670658	902010847446392832	902010932263620611	902010959945981953	902010985703190532	902011154091954180	902011186388094976	902011193430343682	902011242189029376	902011428340682752	902011440818683904	902011456111214592	902011472804544513	902011594930053121	902011599782907908	902013218058579968	902015584270987265	902028204994650114	902043847068311553	902059752234024961	903381902706352130	912575207747080192
gossipcop-894416,https://en.wikipedia.org/wiki/Quinn_Perkins,Quinn Perkins,931263637246881792	931265332022579201	931265423911342080	931265520783056897	931265916721090561	931265926133039104	931266117527465984	931267119437594624	931271237300637696	931271278459224064	931272153667854336	931273637289701386	931283642684399617	931285061885943808	931285101022990336	931297386974003201	931299453042151426	931299453784424449	931299642884706310	931299721062371328	931299741169868800	931299769187790848	931299773751193600	931299819624247296	931299863005933568	931299897365512193	931299913132109824	931299927346565120	931299950427852800	931299978957541376	931300010959843328	931300116669063168	931300130288033792	931300151825784833	931300156573667328	931300154258411521	931300196222369792	931300207685505024	931300395862904833	931300409049616384	931300427181756416	931300463089086465	931300847283089408	931318039659790336	931344483467321344	931451410004054016	931573641006940162	940914478094303233
gossipcop-857248,https://www.refinery29.com/en-us/2018/03/191922/kim-kardashian-butt-workout-strength-routine,I Tried Kim Kardashian's Butt Workout & Am Forever Changed,868114761723936769	868122567910936576	868128733781270529	868130505119629312	868131188665229312	868131193601966081	868131507843383297	868131711246147584	868132457345933312	868133800643088384	868133812416331776	868133844162977793	868135195735605248	868135200152100864	868135211682246656	868135237804371968	868135249699405824	868135319542956032	868136056234721280	868138261587181569	868138266322542593	868138272135856128	868138304096436224	868146612920385536	868146624698097664	868146660320264194	868146656968978432	868146661834473472	868146668398497792	868146670051016706	868146693295923200	868146703223865344	868147240858247170	868148339988103170	868148365380505602	868180471968145408	868182751031250945	868183822961135616	868196175685353472	868197092920930304	868213386030440448	868214614072463361	868219718334898176	868265437460668420	868344780077584384	868503599717924864	868503610249826304	868503610065264641	868503608773320707	868976434014015488	869092696098582528	869094460281552896	869117634645823489
gossipcop-884684,https://www.cnn.com/2017/10/04/entertainment/celine-dion-vegas-shooting-victims/index.html,Celine Dion donates concert proceeds to Vegas shooting victims,915528047004209152	915529285171122176	915530015353090049	915530333101154305	915531484487929867	915531558211194880	915531593216921606	915531680156344321	915532121569136640	915532191844769792	915532348833259526	915532461605576704	915532748596461569	915533549746348038	915535017706758145	915536175418499072	915536749371170817	915537070193627137	915537660059496448	915537669685465088	915538171626246144	915538194539610112	915538764444733440	915539624516313088	915541366868004864	915541523101388800	915544055978778624	915544413388058624	915545322641936385	915548365777178624	915552267855646720	915553825716568064	915554908752846848	915555532882276352	915555538024456193	915555590876880896	915555602805510145	915555612775370754	915555615426142208	915555626629070848	915555637760839680	915555648624107522	915555660334497794	915555670954577920	915558263038599169	915558262535225346	915562867327475714	915563389929345024	915563630627889152	915564239451910145	915564282351304705	915564388601536512	915564466724573185	915564753451458560	915564780571721728	915564952601206784	915564960461283328	915565244663164928	915565455552761857	915566053601792002	915566576388026369	915566904806436864	915567204828975104	915567212068401152	915567485893537799	915567965906587652	915569060636758017	915569284595814401	915569430456885248	915569481220595712	915569545817067520	915569758866739200	915569757058945024	915569886692347904	915569965331345410	915570303648006145	915570318340706304	915570992231174144	915572487550726145	915572703335137283	915572826752643074	915574738965032961	915574741301305345	915574740982554624	915574743427723265	915575509353775105	915575511396569089	915575701318778880	915577427966935040	915577702010277889	915580865177989120	915580932375171073	915581355085504512	915581552108507136	915582357289226240	915584437873790976	915587651578757121	915589561303961600	915589561060753409	915590033276534784	915590216991281152	915591213721571328	915591358630461440	915591489236946944	915592190910373889	915592358200270849	915592677701427201	915593148574744576	915593212374347776	915594046873018370	915594051247759360	915594065176961029	915594088367366144	915594346149351425	915595135055945728	915595396532940800	915595408927105026	915596024634277896	915596177009205248	915596294395191296	915596911838584832	915596925453320192	915597388483633154	915597431303057408	915597540912959490	915597936414875651	915599575817351168	915599978222911488	915602080781541376	915602184959610880	915603069261565952	915603842494009344	915603864669364226	915603934525272064	915606290939957248	915607553601568768	915608186018725890	915609412286459909	915610522455703552	915610636524113920	915612686167224321	915612806120079360	915612907781738497	915617786642046976	915617789435449345	915624576977035264	915627490344886275	915630021020090368	915630199416524800	915630216558600193	915630516111532032	915630628548128768	915631039174840320	915634269439057920	915636964229046275	915639733589499904	915649271881457664	915652114956931073	915658106641805312	915659223631060993	915662090479824896	915673031812534272	915677121955061761	915677131727806464	915677140351250432	915724464846807041	915727644695592972	915732730029248512	915732730163470336	915732861050867713	915736582673649664	915738021798010880	915739836220362752	915741311491346432	915743449906900993	915743497348665344	915744659141521413	915748435889987584	915750979487899648	915755665183973376	915766015455358976	915767138392166401	915771469581479936	915788928875208704	915788966007361546	915792916894887936	915797006018383872	915805708582404096	915806306379927552	915806910619832320	915806952160100352	915807009743802368	915814923682402309	915821094036221953	915822092838457344	915822415950811137	915830198024724480	915831042409410560	915831048243761154	915831053381718017	915831073661231104	915831311666880513	915845645965168640	915854215867764736	915855929442279424	915861139778445313	915862099619930112	915866959253770240	915869382320033792	915873761919930368	915876496392278016	915879669412573184	915880155637202945	915880653199233024	915882805980151808	915882865031651330	915882876079505410	915882891938193408	915884793014841344	915886542018641920	915892961707249670	915899238646779904	915899871088992256	915899874733731840	915901734442106880	915906231524454400	915907295074181120	915910821645086726	915914319589715969	915915745724370945	915916473201254401	915917275957534720	915919272081227777	915919284660064258	915919588809953280	915920587645693953	915928033143517184	915928051631951875	915928152697909250	915930179188510720	915930600728662016	915936023473000449	915941697145544705	915941723997536256	915942289876377600	915942292028055552	915942290560098304	915943544916971520	915951055397113856	915951093233930240	915952859925139456	915957111976349698	915959042043928576	915965260544331776	915975318824902658	915980234352218112	915984127354114050	915984761222565888	915984777898901505	915984792365056000	915984806852354048	915984826221584384	915984839261790208	915984864075280384	915984877094391808	915987267826544640	915992589584781313	916008675826962432	916009321745481728	916009477740089344	916020022585233408	916050909628649473	916057187662946306	916078104510046208	916078118992875520	916084197202317312	916100523639443456	916120944875155461	916168932737933312	916203978844770304	916276896970633216	916572555737255936	916576849945419777	917329039748206592	917525171187208198	917613914438938625	920091751494205440	920639954572795907	953053471397130241	979798131138285568	984017203140923393
gossipcop-899309,https://tech2.org/chris-evans-millie-bobby-brown-snoop-dogg-and-more-stars-shower-bullied-student-keaton-jones-with-support/,"Chris Evans, Millie Bobby Brown, Snoop Dogg and more stars Shower Bullied student Keaton Jones with support – Tech2",940013737204899841	940014043619831808	940014280136564736	940014286373511168	940014546953166849	940014879292891136	940015171300413441	940015236483989504	940015295137271809	940015306277240832	940016373643841536	940016742440501249	940016867657306112	940019574669434881	940019952345640965	940020224467890176	940022972714233856	940023472905904128	940023493504090112	940024310353231873	940025374473367553	940028076666249217	940028512865419264	940034626340274176	940037535916425216	940037770864500736	940039003180429312	940040151203397633	940040504514711552	940040515755503616	940040525674979328	940045209253044226	940045245416214528	940045253557436416	940046541619785729	940046827939807232	940047303997513730	940050288349605889	940050521158696962	940050526569250817	940050525369769985	940051040660987904	940054694352654337	940057069415120896	940057322163802119	940058915227582464	940060137636610048	940060152119439361	940060172881244160	940060358818930689	940060380239294465	940060394348933121	940060399403130880	940060415995691009	940060423109320704	940060604500283392	940060633181011969	940060643876413440	940060651195531264	940060680257904641	940060760591384576	940060871664922624	940060880108007425	940060959523012613	940060997242404866	940061031631503362	940061108500434946	940061107825213440	940061160195289088	940061163294826500	940061165530505216	940061172325277696	940061268139900929	940061315418112000	940061411354357762	940062596547338240	940063110743728128	940065638566936578	940065637296046080	940068065105948674	940076181352628224	940076950852268037	940076950277709824	940077453552230401	940079774596186115	940081346885533697	940083565588389888	940088148742234112	940089284735901696	940090285027082241	940093305068457985	940095567257989123	940098859350482944	940099368182415360	940099732269023232	940107151304880128	940109220720001024	940109865476853760	940110151582760960	940110419007434752	940110932730044418	940111439317970944	940112639472041984	940113952687603713	940114955851915264	940114979105021952	940117237851148288	940134684415135744	940144826539966464	940152981458182144	940180593710714880	940191422325641216	940202766189957120	940209185412718592	940239709103640579	940263125550620672	940289353993113600	940289365531643904	940289376487165952	940289386322767873	940289396162654209	940289414613397504	940289425296195585	940289436549636097	940289447781859328	940289457797943296	940289488118575106	940289498730070022	940289511258578944	940289528580931584	940289538831912962	940289547883237376	940289557202956288	940289566996615168	940289577973055489	940289588710531073	940289599234101249	940289611137503234	940289622499844096	946589664537915392	951105151690997760	954415525626605570
gossipcop-848092,https://tvline.com/2018/05/02/the-handmaids-tale-renewed-season-3-hulu/,Handmaid's Tale Renewed for Season 3,859773820910977024	859773844348837889	859773866515640321	859774038364766209	859774979377967104	859775210983174145	859775482635538432	859775489178689536	859775532572884992	859775669135302656	859775735426306049	859775747912859648	859775886001750016	859776110585942016	859776165933920260	859776789757014016	859777009571856384	859777274056515584	859777411726151680	859777423688294400	859777704882831361	859777885766262784	859778046726995969	859778645568528384	859778648559173632	859778665713762304	859778677457932288	859779165200855040	859779169407778816	859779178157166592	859779189745963009	859779195731193856	859779199137071104	859779207953399809	859779226433536004	859781087605686273	859781278874214400	859782576717742080	859783630482100224	859783824258891776	859785171574308864	859785961038893056	859786187627610112	859789194029391872	859800032266113028	859807431823699968	859811149709103104	859828426466893838	859843433657024512	859851999977787392	859998536947163136	991681086207004672	991739189006921729	991759442105503744	992265782754066432
gossipcop-897293,https://fashionmagazine.com/culture/selena-gomez-justin-bieber-relationship/,A Complete Timeline of Selena Gomez and Justin Bieber's Relationship,936299044422520832	936301588624396290	936301885929213952	936302375391948800	936303170229223424	936304331216900097	936304330596024320	936306601123766272	936307146966425601	936309064711262209	936310563117895681	936311549496561665	936312242378887168	936312621657214977	936316420668968960	936317747084054528	936317771775913984	936320254329880577	936320271685996547	936320274550743043	936320355043545089	936320361985081345	936320459494383616	936320480969216002	936320601211498498	936320603623231490	936320617300799488	936320622057152513	936320656907653122	936320673282174976	936320680899088385	936320727023747072	936320793511976962	936320833668177921	936320856627777536	936321016107847680	936321059388878850	936321087717167105	936321149138558978	936321195850588161	936321282605543425	936321305254809602	936321389036007425	936321686454067202	936321749343461376	936332213142065156	936340485794418689	936368255840735232	936413367094468610	936414966445494272	936458458274000896	936481750070411264	936524352119607297	936556623954370560	936617404649627650	943841088657268737	1033429904824709120
gossipcop-926957,https://decider.com/2018/06/11/claws-season-2-hulu/,When Will ‘Claws’ Season 2 Be On Hulu?,984486548996419584	984490492787351556	984491816316616704	984494403921350656	984498312983302144	984499233603575808	984530936342573056	984608922194579456	984757372915773443	984926726147813376
gossipcop-930832,http://www.criticschoice.com/critics-choice-awards/,Critics' Choice Awards - Critics' Choice Awards,989840869443457024	990987021194743808
gossipcop-918456,https://people.com/tv/scandals-bellamy-young-talks-being-adopted-landing-her-big-break/,"Bellamy Young Opens Up About Being Adopted, Her Real First Name and How She Almost Missed Out on Scandal",970725646249971713	970726930688434176	970727654931468288	970728134189502464	970729714112380928	970731516992131075	970735641741885440	970735832423452677	970735946919489536	970737384093552640	970811217496309760	970919279351816192
gossipcop-912950,http://www.bravotv.com/the-daily-dish/one-of-the-real-housewives-of-orange-county-will-not-return-next-season,Find Out Which of The Real Housewives of Orange County Won't Be Returning,962088077912166400	962088241896869888	962090470867439631	962090753991229440	962090866230943744	962091266216312834	962091543820632066	962091866408783873	962093774624112640	962095201694175232	962096042412949504	962099701662306306	962099952376778753	962100921613344769	962104515519483907	962106874106703872	962112980719718402	962115538330648576	962118550885367809	962128230093410305	962132349004652544	962159930349322240	962219470109294593	962227994118033413	962235519143948288	962342690359619584	962376088050655232	962721342603845632	962931668628705280	962960361396764672	962960373593919488	962960415985684480
gossipcop-857846,https://people.com/pets/everything-we-know-about-the-bachelorettes-dog-copper-including-what-happened-to-his-paw/,The Bachelorette Rachel Lindsay's Dog Copper and What Happened to His Leg,
gossipcop-870658,https://people.com/movies/ben-affleck-is-enjoying-his-summer-with-lindsay-shookus-as-they-vacation-in-maine-says-source/,"Ben Affleck Is 'Enjoying His Summer' with Lindsay Shookus as They Vacation in Maine, Says Source",892477888301236226	892478641317216256	892478897627025408	892479001805156353	892480572299386880	892480662854402048	892481615472975872	892481997721022465	892482111889788928	892483494974074880	892483511139041284	892486379296268289	892487640850718720	892490377936162820	892491241614659584	892516443115409412	892516581720371205	892516637651480577	892516682207567872	892516691158106113	892516707142651904	892516722405773313	892516726126120961	892516855277129729	892516862323458048	892516976131702785	892517088300081152	892517094830592001	892517179735896065	892517209930682368	892517343137607684	892517356358037508	892517376826236928	892517386276007937	892517438432178176	892517457574887425	892517456438321152	892517484695257088	892517603582889984	892517606917378048	892517665184649216	892517728057208832	892519895623139328	892556516942852100	892572680414691328	892579196383481856	892618879796523008
gossipcop-940977,https://theworldnews.net/us-news/becca-tilley-is-the-5th-wheel-among-2-bachelor-couples-at-wango-tango-this-is-fun,"Becca Tilley Is the 5th Wheel Among 2 Bachelor Couples at Wango Tango: ""This Is Fun""",1003346312580878336	1003346320461950976	1003346318410936320	1003346322752065536	1003346602285846529	1003347415192211458	1003348121257115649	1003348164470927360	1003348963846737921	1003349004200050694	1003349454345441285	1003353617305227264	1003355322952515584	1003360264434176004	1003360289725829120	1003360459477708801	1003360457862807553	1003360471515389952	1003360495758381056	1003360546882752512	1003360718756999168	1003360756656738310	1003360772385226753	1003360799862161409	1003360825707515904	1003360943500390400	1003360973825150980	1003361000450678785	1003361011083235328	1003361030343397377	1003361207577972737	1003361221876297730	1003361234039787520	1003361238703857664	1003361265610383361	1003361455972995072	1003361477187768320	1003361516777869312	1003361531688603649	1003361548918812674	1003361592610836481	1003370644023795713	1003379663966785536	1003532360720281601	1003537407940145152
gossipcop-858032,https://medium.com/@AndreAguirre25111NTZ/alexa-chung-says-you-must-own-this-1-piece-from-her-latest-collection-9c81aa382e02,Alexa Chung Says You Must Own This 1 Piece From Her Latest Collection,871338076978765824	871338108968550401	871339053555138560	871339192382504960	871339703248617473	871339817480720384	871339914272624640	871340023341305856	871340093671387136	871340153784213504	871340193395159041	871340204027781120	871340227515871232	871340235866730497	871340329370341376	871340356520079360	871340490129649664	871340684132929536	871341078762237952	871341078003163137	871342085860843522	871342183621607424	871342335199784960	871342564783210496	871343320126980096	871343499454676993	871343521411862528	871343572632694784	871343599740440577	871343599153184768	871343609773264897	871343631675871232	871343672171913217	871343684205326336	871343736357359616	871343783379652609	871343802237190144	871344057255055361	871344279981105152	871344985597018112	871345122159587329	871346004540272641	871346067014467585	871346063843524608	871346396334616576	871347152638881792	871347151036706816	871347161803374593	871347369652215808	871347425717477376	871347444193402881	871347460970512384	871347468155445249	871347470843949056	871347547285188608	871347599843917825	871347638699995136	871348521659645954	871348589737328640	871351045506650112	871351384901390336	871351425057640448	871351444875747328	871353483991015425	871354114789171200	871356512890789888	871356981294006272	871358764485627904	871361020270436352	871364704639356928	871370354207469568	871371486983897088	871371526649520128	871371525227720713	871371523935883264	871371540029427712	871371593607467008	871372077412077568	871372578543345664	871375581601865728	871377722424950785	871377914138374145	871377941745324033	871377955552985089	871378027535577088	871378025937555456	871378056518275073	871378183211409408	871378184226426880	871378213242580993	871378276291416066	871378280066232321	871378312475660289	871378385116770305	871378431145111552	871378442259922944	871378445686669312	871378487797526528	871378557934727168	871378630252781570	871378651945848832	871378667120840704	871378683470262273	871378689950457856	871378692462833665	871378735131275266	871378734678462466	871379993670144000	871383430075830272	871415527318503428	871422605667872768	871428159408709632	871428213326716931	871440938316423168	871440937494339584	871440936110182401	871441946132135936	871511699609616384	871537373045239808	871681285902577664	872103076869623808	872104052435410948	872106044662706177	872107610513833984	872129456227442689	872129959787200514	872136508358230016	872161169099902976	872164970502422528	872165709387767808	872169732237127686	872178288885628929	872185327397609473	872185583334039554	872188875665547264	872191491812331520	872195397824991232	872201182068047872	872201455716978689	872204024547729409	872204060220309504	872215776933146625
